Customer_ID,Order_Date,Age,Gender,City,Subscription_Type,Acquisition_Channel,Product_Category,Total_Orders,Total_Spending,Average_Order_Value,Discount_Percentage,Website_Visits,Avg_Session_Duration_Min,Satisfaction_Score,Support_Tickets,Refund_Requests,Premium_Customer,Churn_Status,Customer_Lifetime_Value
CUST109163,2025-02-16,40.0,Other,Chennai,Standard,Email,Beauty,9,12966.93,1440.77,9.7,14,5.0,5.1,3,0,No,Yes,18174.98
CUST114006,2024-01-15,30.0,Male,Mumbai,Premium,Referral,Fashion,8,6746.4,843.3,15.3,10,5.5,5.8,4,0,No,No,11609.92
CUST104605,2025-11-08,24.0,Female,Bengaluru,Standard,Referral,Beauty,12,12830.28,1069.19,6.1,11,4.5,2.2,4,0,Yes,Yes,42017.49
CUST110256,2024-08-21,22.0,Male,Delhi,Standard,Paid Ads,Books,10,33617.2,3361.72,18.1,13,7.2,7.1,3,1,No,Yes,67501.94
CUST104105,2024-09-30,33.0,Male,Ahmedabad,Premium,Referral,Books,7,21215.32,3030.76,10.4,11,7.7,7.3,3,1,No,No,30849.08
CUST104563,2025-01-13,26.0,Male,Mumbai,Basic,Social Media,Books,10,11539.4,1153.94,4.4,12,5.2,7.6,5,2,No,Yes,20729.39
CUST106931,2025-05-28,27.0,Female,Hyderabad,Standard,Email,Electronics,6,9229.98,1538.33,6.8,20,10.5,6.7,1,1,No,No,27982.05
CUST108421,2025-08-02,37.0,Female,Ahmedabad,Basic,Paid Ads,Electronics,13,29786.77,2291.29,23.9,20,8.5,8.9,1,0,No,No,59971.49
CUST110371,2024-01-28,27.0,,Delhi,Basic,Paid Ads,Electronics,9,33224.49,3691.61,16.2,16,6.8,6.4,0,0,No,No,59643.01
CUST101534,2025-07-16,33.0,Female,Hyderabad,Standard,Organic Search,Home & Kitchen,6,8859.36,1476.56,9.6,11,3.5,6.0,3,2,Yes,No,26098.97
CUST105538,2025-11-30,31.0,Male,Nagpur,Basic,Referral,Home & Kitchen,6,10409.16,1734.86,17.9,19,10.6,7.5,1,0,Yes,No,25939.81
CUST111438,2025-01-10,45.0,Male,Nagpur,Basic,Referral,Fashion,9,32453.91,3605.99,7.7,10,11.2,5.6,2,1,No,No,83921.78
CUST106135,2024-08-18,27.0,Male,Chennai,Premium,Social Media,Books,5,10498.2,2099.64,12.1,19,10.9,8.8,3,1,No,No,19214.54
CUST111773,2024-08-17,39.0,Male,Hyderabad,Basic,Social Media,Electronics,16,37673.12,2354.57,22.3,10,7.6,6.5,2,0,No,No,73714.24
CUST106694,2024-12-15,38.0,Female,Chennai,Premium,Social Media,Home & Kitchen,7,12428.64,1775.52,18.1,13,7.9,6.9,3,0,No,No,25790.12
CUST101054,2024-10-19,36.0,Female,Ahmedabad,Standard,Paid Ads,Books,7,13057.24,1865.32,16.3,16,6.0,8.2,5,0,Yes,No,28051.27
CUST114103,2024-02-06,43.0,Female,Chennai,Standard,Social Media,Beauty,14,24098.76,1721.34,6.7,16,10.0,6.2,1,0,Yes,No,64170.78
CUST108540,2024-11-26,40.0,Male,Nagpur,Standard,Social Media,Fashion,11,20918.7,1901.7,4.4,13,13.9,8.4,1,0,No,No,40935.82
CUST111737,2025-04-04,31.0,Male,Jaipur,Standard,Social Media,Books,7,13261.01,1894.43,,18,9.1,10.0,0,0,No,No,31452.37
CUST107230,2025-08-29,40.0,Female,Nagpur,Standard,Social Media,Sports,8,8645.36,1080.67,8.4,8,9.0,8.0,2,0,No,No,13089.29
CUST107251,2024-03-01,37.0,Male,Delhi,Basic,Paid Ads,Home & Kitchen,4,4698.04,1174.51,6.7,12,6.2,6.1,0,0,Yes,No,9412.4
CUST107158,2024-01-21,27.0,Male,Chennai,Standard,Referral,Electronics,10,19108.2,1910.82,1.2,13,8.2,10.0,3,0,No,No,59308.78
CUST113702,2025-11-24,21.0,Male,Hyderabad,Basic,Social Media,Books,10,40379.4,4037.94,0.6,9,7.2,4.3,0,0,No,Yes,99738.48
CUST107896,2024-04-28,29.0,Male,Hyderabad,Standard,Social Media,Fashion,5,14146.9,2829.38,20.0,9,3.4,6.5,1,1,No,No,42683.84
CUST102184,2024-05-18,46.0,Male,Kolkata,Basic,Social Media,Beauty,12,58919.4,4909.95,4.1,10,7.4,7.7,5,0,Yes,No,145169.67
CUST105070,2024-11-21,37.0,Female,Kolkata,Basic,Referral,Beauty,9,24157.35,2684.15,13.5,11,5.8,4.4,2,0,Yes,No,88443.4
CUST107293,2025-01-16,28.0,Female,Chennai,Standard,Social Media,Fashion,10,14655.1,1465.51,3.1,14,5.6,6.0,5,1,Yes,No,27970.07
CUST114878,2025-01-18,35.0,Male,Kolkata,Premium,Referral,Sports,9,29259.45,3251.05,3.2,18,5.9,5.2,4,1,No,No,54361.22
CUST101035,2025-02-21,30.0,Male,Delhi,Basic,Organic Search,Home & Kitchen,7,5727.68,818.24,4.5,16,,6.2,2,0,Yes,No,17747.32
CUST114889,2025-06-27,46.0,Male,Kolkata,Standard,Paid Ads,Books,12,45624.84,3802.07,14.1,17,1.0,7.4,6,0,No,No,91905.68
CUST103502,2025-04-04,28.0,Female,Hyderabad,Premium,Email,Beauty,9,27330.84,3036.76,,12,12.1,5.5,2,0,No,No,68779.43
CUST114979,2025-10-06,24.0,Male,Delhi,Standard,Paid Ads,Beauty,10,11414.3,1141.43,12.8,16,9.4,7.9,1,1,No,No,33747.33
CUST110861,2025-10-16,33.0,Male,Pune,Standard,Organic Search,Fashion,18,40752.72,2264.04,4.1,7,10.4,6.9,1,0,Yes,No,146011.64
CUST107415,2024-01-01,55.0,Male,Pune,Standard,Paid Ads,Home & Kitchen,9,14604.12,1622.68,3.3,9,4.7,8.4,0,0,No,No,32127.53
CUST106030,2025-03-01,29.0,Male,Kolkata,Standard,Organic Search,Electronics,10,13220.4,1322.04,9.4,12,5.4,5.0,4,1,Yes,No,40894.37
CUST114842,2025-02-09,36.0,Female,Kolkata,Basic,Referral,Beauty,6,11663.28,1943.88,15.0,10,9.4,8.5,4,1,No,Yes,20465.44
CUST102615,2024-11-27,39.0,Other,Jaipur,Premium,Organic Search,Beauty,6,8382.18,1397.03,30.0,10,1.8,10.0,2,0,Yes,No,17827.26
CUST105383,2024-01-29,26.0,Male,Nagpur,Premium,Email,Beauty,11,22527.01,2047.91,5.0,9,10.2,9.7,3,1,No,No,48311.99
CUST110290,2025-09-12,27.0,Female,Jaipur,Standard,Referral,Fashion,8,12496.08,1562.01,3.5,13,12.1,7.0,4,1,No,No,28411.92
CUST100170,2025-04-24,27.0,Male,Ahmedabad,Basic,Email,Home & Kitchen,12,26891.76,2240.98,7.8,15,8.6,7.4,5,2,No,No,52813.17
CUST106093,2025-07-10,33.0,Female,Nagpur,Basic,Organic Search,Fashion,8,7352.32,919.04,10.2,8,9.0,8.1,4,0,No,No,11342.88
CUST113851,2024-09-10,26.0,Female,Jaipur,Premium,Organic Search,Beauty,12,35034.36,2919.53,21.3,9,9.6,8.7,3,0,No,Yes,105975.32
CUST105698,2024-03-09,27.0,,Ahmedabad,Standard,Email,Fashion,9,13689.99,1521.11,7.0,14,13.8,5.3,3,0,No,No,37978.51
CUST111595,2024-08-04,34.0,Male,Delhi,Standard,Referral,Electronics,9,9994.14,1110.46,9.5,11,8.0,4.7,4,1,Yes,No,28799.16
CUST105059,2025-03-23,33.0,Male,Hyderabad,Premium,Paid Ads,Home & Kitchen,8,19927.76,2490.97,16.6,8,7.8,5.9,1,0,No,No,57396.24
CUST105130,2024-01-10,35.0,Female,Mumbai,Premium,Paid Ads,Beauty,5,11672.15,2334.43,6.1,12,7.2,7.7,4,2,No,No,34283.23
CUST111960,2025-11-16,44.0,Male,Nagpur,Standard,Referral,Beauty,12,11743.56,978.63,9.9,9,11.2,9.4,2,0,Yes,No,38739.5
CUST107476,2024-08-29,,Male,Bengaluru,Premium,Paid Ads,Sports,7,23461.62,3351.66,17.7,16,7.9,6.6,1,1,Yes,No,71012.54
CUST109235,2024-12-18,45.0,Female,Nagpur,Basic,Paid Ads,Electronics,8,27182.0,3397.75,10.1,12,8.5,6.3,2,2,No,No,39276.81
CUST111546,2024-12-03,46.0,Female,Kolkata,Standard,Organic Search,Sports,10,10735.6,1073.56,3.4,11,6.5,6.4,1,0,Yes,No,19319.45
CUST107221,2025-03-16,44.0,Male,Mumbai,Standard,Email,Sports,12,16966.2,1413.85,10.3,16,11.7,6.1,4,0,No,No,26007.69
CUST107873,2025-07-29,60.0,Male,Pune,Premium,Referral,Beauty,13,25798.11,1984.47,11.8,12,10.2,5.9,0,1,Yes,No,54794.91
CUST101808,2024-07-31,39.0,Male,Jaipur,Standard,Email,Electronics,7,17552.5,2507.5,11.5,14,6.8,9.7,2,1,No,No,48141.45
CUST110009,2025-01-11,26.0,Male,Nagpur,Basic,Paid Ads,Home & Kitchen,5,9806.55,1961.31,12.5,12,3.0,5.9,2,0,No,No,26105.79
CUST102255,2024-07-31,23.0,Female,Nagpur,Premium,Organic Search,Beauty,9,8321.76,924.64,18.6,11,9.0,6.8,3,0,No,No,24427.06
CUST103215,2024-05-03,41.0,Female,Jaipur,Basic,Organic Search,Electronics,16,62557.92,3909.87,13.5,9,9.7,6.8,3,0,No,No,131528.49
CUST114436,2024-05-10,53.0,Female,Chennai,Basic,Social Media,Books,11,21213.06,1928.46,6.8,15,6.4,6.2,1,2,Yes,No,55340.76
CUST102799,2025-01-06,,Male,Mumbai,Standard,Organic Search,Home & Kitchen,9,8777.7,975.3,15.6,10,11.2,8.8,3,0,Yes,No,22693.4
CUST102020,2025-03-08,23.0,Female,Mumbai,Standard,Referral,Electronics,16,34836.48,2177.28,6.1,13,9.0,6.6,2,1,No,Yes,55934.46
CUST103828,2024-07-07,38.0,Male,Ahmedabad,Standard,Social Media,Electronics,6,13230.36,2205.06,9.4,11,12.9,7.9,1,0,Yes,No,47452.17
CUST106963,2024-08-20,38.0,Male,Mumbai,Premium,Referral,Sports,6,8198.82,1366.47,9.2,8,9.1,6.1,2,0,Yes,No,27391.84
CUST113294,2024-05-22,41.0,Female,Delhi,Premium,Organic Search,Books,10,11177.4,1117.74,16.0,14,,7.7,1,0,No,No,23569.21
CUST109779,2024-12-03,42.0,Male,Mumbai,Standard,Social Media,Electronics,15,12998.25,866.55,4.6,11,4.9,7.7,8,0,No,No,31574.37
CUST113606,2024-10-12,41.0,Female,Mumbai,Standard,Referral,Sports,12,46515.24,3876.27,25.0,15,11.5,7.3,1,0,No,No,98470.48
CUST103108,2025-10-27,39.0,Female,Bengaluru,Basic,Paid Ads,Books,9,9547.02,1060.78,13.5,11,13.1,6.5,4,0,Yes,No,30795.79
CUST102082,2024-01-31,39.0,Male,Delhi,Standard,Email,Electronics,9,50620.41,5624.49,12.1,4,8.5,7.1,1,0,Yes,No,108574.6
CUST104937,2025-07-29,34.0,Male,Mumbai,Standard,Paid Ads,Electronics,7,21300.72,3042.96,15.3,14,8.6,6.7,3,1,Yes,No,73451.03
CUST111038,2024-01-21,38.0,Male,Bengaluru,Basic,Referral,Fashion,11,14532.1,1321.1,18.6,13,8.5,4.8,2,0,No,No,31447.47
CUST104099,2025-09-08,33.0,Male,Kolkata,Basic,Social Media,Beauty,9,19204.83,2133.87,13.7,8,9.2,4.5,1,0,No,No,40509.07
CUST100150,2025-07-08,37.0,Male,Bengaluru,Standard,Referral,Fashion,11,18133.83,1648.53,7.5,20,11.3,7.1,3,0,Yes,No,45731.0
CUST104107,2025-04-17,31.0,Male,Bengaluru,Basic,Social Media,Electronics,9,15253.11,1694.79,,14,4.3,7.2,2,0,No,No,34844.38
CUST102089,2024-04-21,30.0,Male,Mumbai,Basic,Email,Electronics,12,38584.56,3215.38,19.0,13,9.8,8.5,2,1,Yes,No,89243.22
CUST106919,2024-01-05,50.0,Male,Delhi,Premium,Paid Ads,Sports,8,5589.52,698.69,4.7,16,4.0,8.9,2,0,No,No,13374.01
CUST114215,2024-12-10,40.0,Female,Chennai,Basic,Paid Ads,Sports,13,22595.43,1738.11,7.1,6,4.9,7.6,1,0,Yes,No,81505.5
CUST111579,2024-09-21,45.0,Female,Ahmedabad,Standard,Paid Ads,Beauty,12,21683.88,1806.99,4.2,12,9.9,6.9,2,0,No,No,48092.69
CUST101599,2025-08-18,34.0,Female,Nagpur,Standard,Paid Ads,Electronics,12,38568.24,3214.02,12.1,9,10.1,8.5,2,1,No,No,71937.02
CUST105119,2025-02-06,20.0,Female,Nagpur,Basic,Referral,Home & Kitchen,7,10883.04,1554.72,20.1,7,6.0,6.5,3,0,No,No,29365.75
CUST103997,2024-04-23,18.0,Female,Mumbai,Basic,Paid Ads,Electronics,12,17013.24,1417.77,14.9,12,13.0,7.8,2,0,Yes,No,54427.58
CUST107392,2025-06-05,35.0,Female,Jaipur,Standard,Social Media,Home & Kitchen,8,12783.6,1597.95,6.2,11,11.2,5.0,2,1,No,No,32283.73
CUST102035,2024-04-29,44.0,Male,Bengaluru,Premium,Referral,Fashion,9,12268.08,1363.12,17.9,10,7.5,9.8,0,0,Yes,No,37050.89
CUST100488,2024-10-25,24.0,Female,Delhi,Standard,Referral,Home & Kitchen,7,8708.77,1244.11,3.8,9,11.2,7.5,3,1,No,No,18311.63
CUST107279,2025-01-05,33.0,Male,Kolkata,Standard,Email,Electronics,12,28824.0,2402.0,14.6,9,,8.4,2,1,No,No,54254.95
CUST101685,2025-10-17,23.0,Male,Mumbai,Premium,Email,Home & Kitchen,7,7479.22,1068.46,11.0,12,8.2,8.2,0,0,No,No,18614.76
CUST110859,2024-09-16,43.0,Female,Pune,Standard,Organic Search,Home & Kitchen,10,20189.0,2018.9,10.4,9,7.5,,2,1,Yes,No,50817.29
CUST112223,2025-01-28,42.0,Male,Nagpur,Basic,Paid Ads,Books,10,21691.9,2169.19,5.1,11,2.0,6.4,1,1,No,No,52750.01
CUST109564,2025-02-07,47.0,Male,Nagpur,Standard,Referral,Electronics,10,23073.4,2307.34,8.1,11,5.8,7.7,0,2,No,No,38454.06
CUST100933,2025-05-05,21.0,Female,Mumbai,Basic,Social Media,Home & Kitchen,8,10019.44,1252.43,13.3,8,10.1,5.7,5,1,No,No,29343.65
CUST109514,2024-08-09,32.0,Female,Chennai,Basic,Email,Electronics,14,19412.68,1386.62,19.4,15,2.6,7.5,3,0,No,No,33372.22
CUST105602,2025-01-24,33.0,Male,Ahmedabad,Basic,Referral,Fashion,13,18623.93,1432.61,7.2,9,8.6,8.5,1,0,No,No,44722.05
CUST114643,2024-10-08,18.0,Female,Mumbai,Premium,Social Media,Beauty,14,11722.2,837.3,19.6,16,10.3,6.5,1,1,No,No,31158.83
CUST103272,2024-05-30,26.0,Male,Chennai,Basic,Email,Sports,7,11149.32,1592.76,11.3,11,9.1,6.3,5,0,No,No,26932.52
CUST110391,2025-07-25,18.0,Male,Nagpur,Standard,Social Media,Sports,12,25959.6,2163.3,3.7,13,5.7,8.8,3,0,No,No,52103.62
CUST103756,2025-11-02,18.0,Female,Kolkata,Standard,Email,Home & Kitchen,7,15123.01,2160.43,8.4,16,8.4,5.6,0,0,No,No,37052.93
CUST106910,2025-04-23,26.0,Female,Nagpur,Premium,Paid Ads,Sports,13,12005.89,923.53,9.9,13,10.3,6.9,2,1,No,No,32604.98
CUST109922,2025-11-19,36.0,Male,Mumbai,Premium,Organic Search,Sports,7,7026.53,1003.79,13.8,12,9.7,5.4,4,0,No,No,16088.82
CUST112035,2024-05-04,46.0,Male,Ahmedabad,Premium,Organic Search,Electronics,11,26656.41,2423.31,6.2,14,8.7,6.7,4,0,No,No,42942.14
CUST113617,2024-07-01,37.0,Male,Ahmedabad,Standard,Paid Ads,Sports,10,33437.3,3343.73,5.0,14,8.4,5.8,4,0,Yes,No,62101.3
CUST112581,2024-02-22,37.0,Female,Bengaluru,Standard,Paid Ads,Fashion,8,7295.12,911.89,7.1,15,16.1,8.2,1,1,Yes,No,20109.29
CUST107815,2025-08-19,35.0,Male,Delhi,Basic,Organic Search,Sports,6,4790.58,798.43,15.5,19,6.8,8.5,1,1,No,No,10002.16
CUST103296,2025-11-07,24.0,Male,Ahmedabad,Standard,Referral,Fashion,8,13387.2,1673.4,11.2,15,7.4,4.9,3,1,No,No,39501.26
CUST111214,2025-04-24,39.0,Female,Nagpur,Standard,Email,Fashion,8,30319.76,3789.97,14.6,19,8.4,7.6,1,0,No,No,87805.17
CUST107812,2024-02-09,32.0,Other,Jaipur,Standard,Social Media,Fashion,10,18482.3,1848.23,6.4,15,6.8,4.7,2,0,Yes,No,34560.25
CUST107248,2025-09-22,34.0,Female,Nagpur,Basic,Email,Beauty,12,28620.6,2385.05,5.6,19,8.6,6.3,2,0,Yes,No,103534.17
CUST111591,2024-12-29,39.0,Female,Bengaluru,Basic,Email,Home & Kitchen,9,17492.13,1943.57,10.2,14,6.9,7.5,4,0,Yes,No,40045.32
CUST104238,2024-10-08,31.0,Male,Pune,Basic,Organic Search,Fashion,8,16265.2,2033.15,5.9,25,9.0,4.7,1,0,No,No,51923.67
CUST105768,2025-02-12,33.0,Female,Hyderabad,Standard,Organic Search,Fashion,6,18944.16,3157.36,4.6,15,10.2,8.1,1,0,No,No,31066.36
CUST103777,2024-01-27,18.0,Female,Delhi,Standard,Referral,Books,7,23107.35,3301.05,4.9,23,6.0,6.2,3,2,No,No,39891.13
CUST101023,2025-10-23,34.0,Male,Hyderabad,Premium,Email,Electronics,8,14556.48,1819.56,15.6,13,7.9,10.0,5,0,Yes,No,24880.31
CUST112140,2024-05-17,43.0,Male,Nagpur,Basic,Referral,Books,12,21159.96,1763.33,6.8,8,6.3,9.7,0,0,Yes,No,58134.54
CUST108880,2025-06-01,28.0,Female,Chennai,Premium,Organic Search,Books,8,11620.08,1452.51,4.0,13,10.6,7.9,0,2,No,No,35111.39
CUST101576,2025-02-07,34.0,Other,Nagpur,Basic,Paid Ads,Electronics,9,12723.12,1413.68,5.8,10,10.3,6.8,2,0,No,No,39538.13
CUST109119,2025-08-16,33.0,Female,Chennai,Standard,Paid Ads,Fashion,8,31564.72,3945.59,13.9,16,8.3,6.2,3,1,Yes,No,79398.66
CUST107566,2024-04-26,19.0,Male,Chennai,Premium,Social Media,Sports,6,8156.52,1359.42,18.9,11,9.6,4.4,3,1,No,No,16627.37
CUST105351,2024-05-28,40.0,Male,Bengaluru,Premium,Organic Search,Beauty,7,13423.27,1917.61,9.6,11,5.5,6.7,2,0,No,No,41826.82
CUST108939,2025-02-06,38.0,Female,Kolkata,Standard,Paid Ads,Books,9,18099.99,2011.11,6.0,12,10.4,9.3,1,1,No,Yes,37135.6
CUST113031,2025-07-01,39.0,Male,Ahmedabad,Standard,Social Media,Sports,8,7870.88,983.86,14.3,19,6.0,6.5,1,0,No,No,14971.86
CUST106157,2025-12-01,33.0,Male,Nagpur,Basic,Referral,Home & Kitchen,10,17796.3,1779.63,18.9,14,11.8,8.3,2,1,Yes,No,48516.34
CUST102228,2025-12-13,29.0,Male,Pune,Basic,Paid Ads,Books,11,16337.09,1485.19,8.0,10,3.5,7.6,4,1,No,No,49586.01
CUST112611,2025-06-13,36.0,Female,Nagpur,Standard,Email,Beauty,10,34858.2,3485.82,19.5,16,8.0,6.5,0,0,Yes,No,91321.03
CUST104966,2024-03-05,32.0,Male,Pune,Premium,Referral,Sports,4,7151.84,1787.96,22.4,16,10.5,4.2,2,0,No,No,11750.43
CUST100915,2024-05-18,33.0,Other,Chennai,Standard,Organic Search,Fashion,12,20394.12,1699.51,7.2,18,6.1,3.8,6,1,No,No,53336.71
CUST103614,2024-05-31,38.0,Male,Mumbai,Basic,Social Media,Electronics,8,12247.04,1530.88,6.6,23,8.7,3.8,2,2,Yes,No,36479.79
CUST109754,2024-06-09,37.0,Male,Nagpur,Standard,Paid Ads,Home & Kitchen,11,20667.02,1878.82,11.0,12,7.8,6.5,0,0,No,No,65787.88
CUST105251,2024-05-01,25.0,Female,Pune,Standard,Paid Ads,Electronics,12,35560.44,2963.37,9.9,14,12.1,5.9,0,0,No,No,107007.81
CUST113326,2025-06-01,48.0,Female,Chennai,Standard,Paid Ads,Sports,6,11964.3,1994.05,17.2,15,7.2,9.3,2,0,No,No,26855.86
CUST114960,2024-11-12,37.0,Male,Pune,Standard,Referral,Beauty,5,9485.25,1897.05,5.7,14,8.4,7.0,2,2,No,No,13607.19
CUST108590,2024-12-26,32.0,Male,Bengaluru,Basic,Email,Books,7,10637.76,1519.68,26.5,12,7.6,7.2,0,1,No,No,29813.45
CUST108206,2024-03-31,30.0,Female,Jaipur,Basic,Referral,Fashion,7,10886.75,1555.25,16.9,14,10.2,7.0,1,0,No,No,24919.77
CUST112228,2025-08-02,33.0,Female,Mumbai,Standard,Paid Ads,Sports,10,7795.1,779.51,21.9,14,7.3,6.1,3,1,No,No,17006.19
CUST114204,2025-03-19,35.0,Male,Mumbai,Basic,Social Media,Beauty,11,10408.53,946.23,11.3,10,8.3,6.8,3,0,No,No,18973.95
CUST108290,2025-07-20,18.0,Female,Chennai,Standard,Paid Ads,Beauty,9,28734.3,3192.7,10.1,8,9.7,7.6,3,0,No,No,59301.86
CUST102454,2025-08-17,28.0,Male,Kolkata,Standard,Organic Search,Beauty,16,20686.72,1292.92,10.7,13,9.0,5.6,5,0,No,No,50823.96
CUST102537,2025-04-02,43.0,Other,Ahmedabad,Basic,Organic Search,Fashion,9,15112.8,1679.2,1.9,10,4.1,8.4,2,0,No,No,30100.98
CUST102168,2024-01-23,23.0,Female,Delhi,Standard,Referral,Beauty,12,36525.12,3043.76,10.9,15,7.9,7.1,2,2,No,No,72820.45
CUST103207,2024-11-07,27.0,Male,Nagpur,Basic,Paid Ads,Books,9,17905.77,1989.53,7.0,9,4.1,6.1,2,0,No,No,29681.69
CUST111951,2025-08-18,45.0,Male,Pune,Standard,Social Media,Books,12,54035.28,4502.94,7.6,13,9.4,8.9,1,1,Yes,No,166243.31
CUST101062,2024-01-10,18.0,Female,Bengaluru,Premium,Organic Search,Books,11,57931.61,5266.51,13.3,13,8.3,8.7,4,1,No,No,172836.42
CUST100709,2024-04-07,18.0,Male,Delhi,Premium,Paid Ads,Beauty,8,24344.88,3043.11,4.2,17,4.1,6.9,1,0,No,No,34520.72
CUST107524,2025-11-15,38.0,Male,Mumbai,Premium,Paid Ads,Electronics,12,8216.88,684.74,21.2,15,9.2,7.3,0,0,No,No,25886.04
CUST109575,2024-09-22,38.0,Male,Kolkata,Standard,Email,Fashion,8,6797.6,849.7,3.4,17,7.0,7.7,6,0,Yes,No,18083.41
CUST112783,2025-01-14,38.0,Male,Chennai,Standard,Paid Ads,Books,9,35247.69,3916.41,7.1,17,6.2,7.4,2,0,No,No,54497.82
CUST103342,2024-04-25,32.0,Female,Hyderabad,Premium,Paid Ads,Sports,8,9240.96,1155.12,,15,8.1,7.8,1,1,No,No,26085.78
CUST106760,2025-05-26,35.0,Other,Kolkata,Standard,Organic Search,Fashion,9,16645.77,1849.53,16.2,9,10.1,4.5,3,1,No,Yes,49562.32
CUST101324,2024-11-14,38.0,Male,Pune,Standard,Email,Sports,12,13906.2,1158.85,12.8,16,7.1,6.5,3,0,No,Yes,34372.22
CUST112829,2024-06-03,38.0,Male,Nagpur,Premium,Referral,Electronics,10,30576.1,3057.61,6.6,13,4.7,8.8,2,0,No,No,87144.98
CUST114655,2025-05-29,18.0,Female,Bengaluru,Standard,Email,Books,7,8871.03,1267.29,6.6,11,5.6,7.4,3,0,No,No,23158.07
CUST105401,2024-11-27,23.0,Male,Chennai,Basic,Paid Ads,Books,11,43572.87,3961.17,12.4,15,11.4,8.0,2,1,No,No,121695.75
CUST109030,2024-09-18,28.0,Male,Pune,Premium,Email,Books,10,11955.3,1195.53,4.8,7,6.9,5.9,2,0,Yes,No,19288.28
CUST114446,2025-08-17,25.0,Female,Ahmedabad,Basic,Social Media,Sports,11,37141.94,3376.54,25.3,10,5.1,5.7,6,2,No,No,83367.57
CUST106801,2025-11-25,25.0,Other,Pune,Standard,Organic Search,Books,8,39201.12,4900.14,1.6,8,11.6,7.6,3,1,No,No,109625.68
CUST108736,2024-07-21,28.0,Male,Kolkata,Basic,Referral,Home & Kitchen,8,21416.4,2677.05,12.2,10,11.5,6.3,4,1,Yes,No,57091.86
CUST112311,2024-07-12,49.0,Female,Pune,Premium,Organic Search,Electronics,7,25824.68,3689.24,14.9,11,8.6,7.5,1,0,No,No,77226.37
CUST107927,2024-01-14,26.0,Male,Mumbai,Premium,Email,Fashion,14,28186.2,2013.3,5.6,15,10.7,8.1,4,0,No,No,48286.63
